name,description,usage,side_effects,disease
非索非那定,第二代H1受体拮抗剂,抗过敏,头痛;嗜睡;腹泻,过敏性皮肤病
依巴斯汀,选择性H1受体拮抗剂,抗过敏,头痛;口干;疲劳,过敏性鼻炎
孟鲁司特,白三烯受体拮抗剂,抗过敏抗炎,头痛;腹痛;肌肉酸痛,过敏性哮喘
地塞米松,糖皮质激素,抗炎免疫抑制,高血糖;骨质疏松;感染,炎症反应
泼尼松,糖皮质激素,抗炎免疫抑制,高血糖;骨质疏松;精神症状,自身免疫病
甲泼尼龙,糖皮质激素,抗炎免疫抑制,高血糖;电解质紊乱;感染,重症炎症
氢化可的松,糖皮质激素,抗炎,高血糖;骨质疏松;精神症状,肾上腺功能不全
丙酸氯倍他索,强效糖皮质激素,外用抗炎,皮肤萎缩;毛细血管扩张,皮肤炎症
阿达帕林,视黄酸类药物,治疗痤疮,皮肤干燥;刺激;光敏性,痤疮
异维A酸,维A酸类,治疗重症痤疮,皮肤干燥;唇干;畸胎;肝损害,严重痤疮
硫磺,硫磺制剂,杀虫消毒,皮肤刺激;接触性皮炎,疥疮
克霉唑,咪唑类抗真菌药,抗真菌,皮肤刺激;过敏反应,皮肤真菌感染
酮康唑,咪唑类抗真菌药,抗真菌,头痛;肝损害;皮疹,真菌感染
伊曲康唑,三唑类抗真菌药,抗真菌治疗,肝损害;头痛;消化不适,指甲真菌感染
特比萘芬,丁苯萘胺类抗真菌药,抗真菌,皮肤刺激;味觉异常;肝损害,脚气
灰黄霉素,抗真菌抗生素,抗真菌,头痛;消化不适;光敏性,皮肤真菌感染
硝酸咪康唑,咪唑类抗真菌药,抗真菌,皮肤刺激;过敏,念珠菌感染
双氯芬酸,非甾体抗炎药,消炎止痛,胃部不适;肾损害;皮疹,关节炎
美洛昔康,非甾体抗炎药,消炎止痛,胃部不适;肾损害;头痛,骨关节炎
塞来昔布,选择性COX-2抑制剂,消炎止痛,心血管事件风险;胃肠道不适,类风湿关节炎
萘普生,非甾体抗炎药,消炎止痛,胃痛;头痛;晕眩,痛风
吲哚美辛,非甾体抗炎药,消炎止痛,头痛;胃部不适;头晕,肌肉骨骼痛
依托度酸,非甾体抗炎药,消炎止痛,胃部不适;皮疹;头痛,风湿痛
洛索洛芬,非甾体抗炎药,消炎止痛,胃部不适;头痛;皮疹,肌肉酸痛
吗啡,阿片类强效镇痛药,强效镇痛,成瘾;便秘;呼吸抑制,癌症疼痛
可待因,阿片类镇痛药,镇痛镇咳,便秘;嗜睡;成瘾风险,中度疼痛
鲁莫司坦,阿片类镇痛药,镇痛,便秘;嗜睡;成瘾风险,中度疼痛
曲马多,合成阿片类镇痛药,镇痛,嗜睡;头晕;恶心;成瘾,中等疼痛
坦度螺酮,阿片类镇痛药,镇痛,便秘;嗜睡;成瘾风险,中度疼痛
普瑞巴林,神经递质前体药物,镇痛,嗜睡;头晕;体重增加,神经病理性痛
加巴喷丁,神经递质类似物,镇痛,嗜睡;头晕;共济失调,神经病理性痛
硫酸氢氯吡格雷,血小板聚集抑制剂,抗血栓,出血;消化道不适;皮疹,心脑血管病
华法林,香豆素类抗凝血剂,抗凝血,出血;皮疹;肝损害,血栓栓塞
低分子量肝素,肝素类抗凝血剂,抗凝血,出血;血小板减少;骨质疏松,深静脉血栓
达比加群,直接凝血酶抑制剂,抗凝血,出血;胃肠道不适,心房颤动
利伐沙班,选择性Xa因子抑制剂,抗凝血,出血;胃肠道不适;肌肉痛,血栓预防
阿哌沙班,选择性Xa因子抑制剂,抗凝血,出血;胃肠道不适,房颤血栓预防
替格瑞洛,P2Y12受体拮抗剂,抗血小板,出血;心动过缓;晕厥,急性冠脉综合征
普拉格雷,P2Y12受体拮抗剂,抗血小板,出血;头痛;皮疹,冠心病
肝素,肝素类抗凝血剂,抗凝血,出血;血小板减少;骨质疏松,血栓栓塞
美托洛尔,β-受体阻滞剂,降压;抗心绞痛,疲劳;头晕;心动过缓,高血压
比索洛尔,β-受体阻滞剂,降压,疲劳;头晕;心动过缓,高血压
卡维地洛,非选择性β-受体阻滞剂,降压,疲劳;头晕;心动过缓,高血压
硝苯地平,二氢吡啶类钙离子通道阻滞剂,降压扩血管,头痛;面部潮红;脚踝浮肿,高血压
氨氯地平,二氢吡啶类钙离子通道阻滞剂,降压,脚踝浮肿;头痛;疲劳,高血压
非洛地平,二氢吡啶类钙离子通道阻滞剂,降压,脚踝浮肿;头痛;心动过速,高血压
地尔硫卓,非二氢吡啶类钙离子通道阻滞剂,降压,头晕;心动过缓;便秘,高血压
维拉帕米,非二氢吡啶类钙离子通道阻滞剂,降压,便秘;头晕;心动过缓,高血压
林西普利,ACE抑制剂,降压,干咳;头晕;血管神经性水肿,高血压
依那普利,ACE抑制剂,降压,干咳;头晕;高血钾,高血压
培哚普利,ACE抑制剂,降压,干咳;头晕;血管神经性水肿,高血压
氯沙坦,血管紧张素II受体拮抗剂,降压,头晕;肌肉酸痛;高血钾,高血压
缬沙坦,血管紧张素II受体拮抗剂,降压,头晕;疲劳;高血钾,高血压
坎地沙坦,血管紧张素II受体拮抗剂,降压,头晕;肌肉酸痛;高血钾,高血压
苯磺酸氨氯地平,钙离子通道阻滞剂,降压,脚踝浮肿;头痛;疲劳,高血压
氯噻嗪,噻嗪类利尿剂,降压,电解质紊乱;高血糖;低血钾,高血压
螺内酯,醛固酮拮抗剂利尿剂,利尿降压,高血钾;乳房肿胀;皮疹,高血压
呋塞米,袢利尿剂,利尿,电解质紊乱;听力损害;低血压,水肿
托拉塞米,袢利尿剂,利尿,电解质紊乱;头晕;低血压,水肿
阿司匹林肠溶片,阿司匹林缓释制剂,抗血小板;预防血栓,胃部不适;出血风险;过敏,心脑血管预防
二磷酸腺苷,血小板聚集抑制剂,抗血小板,头痛;消化不适;皮疹,心血管病预防
西洛他唑,血小板聚集抑制剂,抗血小板,头痛;腹泻;心动过速,间歇性跛行
潘生丁,血小板聚集抑制剂,抗血小板,头痛;面部潮红;消化不适,血栓预防
肌醇,膜流动性调节剂,神经保护,恶心;头晕;腹泻,脑卒中
